question,answer,llm_answer,is_correct
"The novel that everyone is reading for English class has half as many pages as their history book.  Their science book has 4 times the amount of pages as their novel.  If the history book has 300 pages, how many pages does their science book have?","Their novel is half as long as their 300-page history book so it is 300/2 = <<300/2=150>>150 pages
Their science book has 4 times the amount of pages as their novel, which is 150 pages, so their science book has 4*150 = <<4*150=600>>600 pages
#### 600",600,True
"Danny helps his friends carpool to work. He has to drive 8 miles to the first friend's house, half that distance to the second friend's house, then 3 times the total distance driven so far to get to work. How many miles does Danny drive between the second friend's house and work?","First find the distance to the second friend's house by halving the distance to the first friend's house: 8 miles / 2 = <<8/2=4>>4 miles
Then add that amount to the distance to the first friend's house: 4 miles + 8 miles = <<4+8=12>>12 miles
Then triple that number to find the distance from the second friend's house to work: 12 miles * 3 = <<12*3=36>>36 miles
#### 36",18,False
"Riku has 25 times more stickers than Kristoff. If Kristoff has 85 stickers, how many stickers does Riku have?","If Kristoff has 85 stickers, Riku has 25 * 85 stickers = <<85*25=2125>>2125 more stickers.
The total number of stickers Riku has is 2125 stickers + 85 stickers = <<2125+85=2210>>2210 stickers
#### 2210",#### 2125,False
"Last night Kannon had 3 apples, a banana, and 4 oranges for dinner. Today she is planning to have 4 more apples than last night, 10 times as many bananas as she ate last night, and twice as many oranges as apples she'll have today. How many fruits would she have eaten so far in the two meals?","The total number of fruits that Kannon ate last is 3 apples+1 banana+4 oranges = <<3+1+4=8>>8
Since last night Kannon had 3 apples, today she'll eat 3+4 = <<3+4=7>>7 apples.
She is also planning to eat 10 times as many bananas as she ate last night, a total of 1*10 = <<10=10>>10 bananas.
Kannon will also eat twice as many oranges as apples she'll have today, which means she'll eat 7*2 = <<7*2=14>>14 oranges.
Tonight Kannon will eat 14 oranges+10 bananas +7 apples = <<14+10+7=31>>31 fruits
In total, after tonight, Kannon would have eaten 31+8 = <<31+8=39>>39 fruits.
#### 39",102,False
"If there are sixty-five dolphins in the ocean, and three times that number joins in from a river which has its mouth at the ocean, calculate the total number of dolphins in the ocean.","When three times the number of dolphins in the ocean joins in from a river, the number of dolphins in the ocean increases by 3 *65 = <<3*65=195>>195
The total number of dolphins in the ocean increases to 195+65 = <<195+65=260>>260
#### 260",260,True
"At a cafe, the breakfast plate has two eggs and twice as many bacon strips as eggs.  If 14 customers order breakfast plates, how many bacon strips does the cook need to fry?","Each breakfast plate has 2 x 2 = <<2*2=4>>4 bacon strips.
The cook needs to fry 14 x 4 = <<14*4=56>>56 bacon strips.
#### 56",56,True
"On a tough week, Haji's mother sells goods worth $800, which is half the amount she sells on a good week. What's the total amount of money she makes if she has 5 good weeks and 3 tough weeks?","If on a tough week she sells half what she sells on a good week, then on a good week she sells 800*2 = <<800*2=1600>>1600 dollars.
If she had 5 good weeks, the amount is 5*1600 = <<5*1600=8000>>8000 dollars.
During the 3 tough weeks, she sells 3*800 = <<3*800=2400>>2400 dollars.
The total amount she sold in both weeks is 2400+8000 = <<2400+8000=10400>>10400 dollars.
#### 10400",6400,False
"A TV show costs $100,000 per episode for the first season and twice that much for every other season.  The first season had 12 episodes, and every season after that had 50% more episodes except the last season, which had 24 episodes.  The show had 5 seasons.  How much did it cost to produce all the episodes?","The first season cost 12*100,000=$<<12*100000=1200000>>1,200,000
Season 2-4 had 12*.5=<<12*.5=6>>6 more episodes per season than the first
So they each had 12+6=<<12+6=18>>18 episodes
That means there were 18*3+24=<<18*3+24=78>>78 episodes in the last 4 seasons
So those episodes cost 2*100,000=$<<2*100000=200000>>200,000
For a total cost of 200,000*78=$<<200000*78=15600000>>15,600,000
So the total cost was 15,600,000+1,200,000=$<<15600000+1200000=16800000>>16,800,000
#### 16,800,000",10500000,False
"Julia collects old watches. She owns 20 silver watches, and three times as many bronze watches. She decided to buy gold watches to add to her collection, a number that represents 10% of all the watches she owns. How many watches does Julia own after this purchase?","Julia owns 3 * 20 = <<3*20=60>>60 bronze watches.
60+20 = <<60+20=80>>80 total silver and bronze watches
10% of all Julia's watches is 80 * 10/100 = <<80*10/100=8>>8 watches, and she decided to buy so many gold watches.
So in total Julia is in possession of 20 + 60 + 8 = <<20+60+8=88>>88 watches.
#### 88",66,False
"Seth bought some boxes of oranges. He gave a box to his mother. He then gave away half of the remaining boxes. If Seth has 4 boxes of oranges left, how many boxes did he buy in the first place?","After giving a box to his mom, Seth had 4*2=<<4*2=8>>8 boxes left.
Seth bought 8+1=<<8+1=9>>9 boxes of oranges.
#### 9",10,False
